sheet,file,bbox,width,height,component_area
sheet4_misc,auto_extracted/sheet4_misc/sheet4_misc_asset_20.png,"[1257, 586, 1412, 709]",155,123,4130
sheet4_misc,auto_extracted/sheet4_misc/sheet4_misc_asset_21.png,"[980, 586, 1118, 709]",138,123,3903
sheet4_misc,auto_extracted/sheet4_misc/sheet4_misc_asset_22.png,"[377, 530, 456, 610]",79,80,3595
sheet4_misc,auto_extracted/sheet4_misc/sheet4_misc_asset_23.png,"[531, 531, 611, 610]",80,79,3185
sheet4_misc,auto_extracted/sheet4_misc/sheet4_misc_asset_24.png,"[844, 529, 919, 613]",75,84,3121
sheet4_misc,auto_extracted/sheet4_misc/sheet4_misc_asset_25.png,"[56, 53, 145, 138]",89,85,2643
sheet4_misc,auto_extracted/sheet4_misc/sheet4_misc_asset_26.png,"[593, 742, 658, 808]",65,66,1848
sheet4_misc,auto_extracted/sheet4_misc/sheet4_misc_asset_27.png,"[700, 565, 758, 610]",58,45,1009
sheet4_misc,auto_extracted/sheet4_misc/sheet4_misc_asset_28.png,"[710, 536, 747, 578]",37,42,466
sheet4_misc,auto_extracted/sheet4_misc/sheet4_misc_asset_29.png,"[737, 567, 774, 606]",37,39,308
sheet4_misc,auto_extracted/sheet4_misc/sheet4_misc_asset_30.png,"[684, 567, 720, 606]",36,39,302
sheet4_misc,auto_extracted/sheet4_misc/sheet4_misc_asset_31.png,"[733, 544, 766, 580]",33,36,259
sheet4_misc,auto_extracted/sheet4_misc/sheet4_misc_asset_32.png,"[692, 544, 723, 580]",31,36,240
